week,anchor_topic,website_url,author,pillar,linkedin,x,newsletter,short_video,approval_status
1,"Is the Sleep Economy a Real Business Opportunity?",https://business-lens-with-les.netlify.app/insights/sleep-economy-business-opportunity/,Les Xu,"Business judgement and owner operations",draft,draft,draft,draft,needs human approval
2,"Vietnam Is Not A Shortcut",https://business-lens-with-les.netlify.app/insights/vietnam-is-not-a-shortcut/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
3,"A Lease Is Not A License",https://business-lens-with-les.netlify.app/insights/lease-is-not-a-license/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
4,"Capital Needs A Legal Route",https://business-lens-with-les.netlify.app/insights/capital-needs-a-legal-route/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
5,"The First 100 Days Checklist",https://business-lens-with-les.netlify.app/insights/first-100-days-checklist/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
6,"Can foreigners start a business in Vietnam?",https://business-lens-with-les.netlify.app/insights/foreigners-start-business-vietnam/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
7,"Vietnam company setup: the first 100 days",https://business-lens-with-les.netlify.app/insights/vietnam-company-setup-first-100-days/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
8,"Vietnam market entry checklist",https://business-lens-with-les.netlify.app/insights/vietnam-market-entry-checklist/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
9,"Vietnam lease, license, and capital sequence",https://business-lens-with-les.netlify.app/insights/vietnam-lease-license-capital-sequence/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
10,"China plus one Vietnam guide for SME owners",https://business-lens-with-les.netlify.app/insights/china-plus-one-vietnam-sme-guide/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
11,"Da Nang vs Ho Chi Minh City for Vietnam business entry",https://business-lens-with-les.netlify.app/insights/da-nang-vs-ho-chi-minh-business-entry/,Business Lens Advisory,"Cross-border execution",draft,draft,draft,draft,needs human approval
